image_path,xmin,ymin,xmax,ymax,label,area,ht
2018_NIWO_2_450000_4426000_image_crop_1.png,41,220,58,239,Tree,3.2300000000000004,13
2018_NIWO_2_450000_4426000_image_crop_1.png,58,190,69,200,Tree,1.1,10
2018_NIWO_2_450000_4426000_image_crop_1.png,20,200,33,210,Tree,1.3,6
2018_NIWO_2_450000_4426000_image_crop_1.png,33,185,44,196,Tree,1.2100000000000002,11
2018_NIWO_2_450000_4426000_image_crop_1.png,48,194,59,202,Tree,0.8800000000000001,10
2018_NIWO_2_450000_4426000_image_crop_1.png,56,201,70,211,Tree,1.4000000000000001,10
2018_NIWO_2_450000_4426000_image_crop_1.png,82,195,97,208,Tree,1.9500000000000002,10
2018_NIWO_2_450000_4426000_image_crop_1.png,288,356,306,374,Tree,3.24,7
2018_NIWO_2_450000_4426000_image_crop_1.png,196,360,211,373,Tree,1.9500000000000002,14
2018_NIWO_2_450000_4426000_image_crop_1.png,81,350,94,362,Tree,1.5600000000000003,8
2018_NIWO_2_450000_4426000_image_crop_1.png,87,334,101,349,Tree,2.1,12
2018_NIWO_2_450000_4426000_image_crop_1.png,67,318,79,332,Tree,1.6800000000000004,10
2018_NIWO_2_450000_4426000_image_crop_1.png,38,375,54,397,Tree,3.5200000000000005,16
2018_NIWO_2_450000_4426000_image_crop_1.png,41,395,61,400,Tree,1.0,17
2018_NIWO_2_450000_4426000_image_crop_1.png,194,373,212,386,Tree,2.3400000000000003,17
2018_NIWO_2_450000_4426000_image_crop_1.png,222,341,238,357,Tree,2.5600000000000005,17
2018_NIWO_2_450000_4426000_image_crop_1.png,217,359,237,379,Tree,4.0,17
2018_NIWO_2_450000_4426000_image_crop_1.png,219,384,236,400,Tree,2.7200000000000006,15
2018_NIWO_2_450000_4426000_image_crop_1.png,189,384,206,400,Tree,2.7200000000000006,16
2018_NIWO_2_450000_4426000_image_crop_1.png,214,284,233,303,Tree,3.6100000000000003,15
2018_NIWO_2_450000_4426000_image_crop_1.png,120,308,141,334,Tree,5.460000000000001,13
2018_NIWO_2_450000_4426000_image_crop_1.png,118,332,133,353,Tree,3.1500000000000004,12
2018_NIWO_2_450000_4426000_image_crop_1.png,69,334,84,350,Tree,2.4000000000000004,10
2018_NIWO_2_450000_4426000_image_crop_1.png,60,283,75,298,Tree,2.25,10
