image_path,xmin,ymin,xmax,ymax,label,area,compet
NIWO_001_2018.tif,232.0,321.0,246.0,335.0,Tree,196.0,1.0
NIWO_001_2018.tif,385.0,258.0,398.0,278.0,Tree,260.0,1.0
NIWO_001_2018.tif,56.0,109.0,70.0,120.0,Tree,154.0,1.0
NIWO_001_2018.tif,259.0,114.0,271.0,129.0,Tree,180.0,1.0
NIWO_001_2018.tif,20.0,69.0,31.0,79.0,Tree,110.0,1.0
NIWO_001_2018.tif,355.0,302.0,369.0,312.0,Tree,140.0,1.0
NIWO_001_2018.tif,389.0,45.0,400.0,62.0,Tree,187.0,1.0
NIWO_001_2018.tif,380.0,63.0,400.0,85.0,Tree,440.0,1.0
NIWO_001_2018.tif,62.0,177.0,84.0,194.0,Tree,374.0,1.0
NIWO_001_2018.tif,55.0,256.0,75.0,279.0,Tree,460.0,1.0
NIWO_001_2018.tif,230.0,8.0,250.0,30.0,Tree,440.0,1.0
NIWO_001_2018.tif,374.0,184.0,390.0,196.0,Tree,192.0,1.0
NIWO_001_2018.tif,20.0,19.0,33.0,34.0,Tree,195.0,1.0
NIWO_001_2018.tif,212.0,25.0,228.0,42.0,Tree,272.0,1.0
NIWO_001_2018.tif,125.0,61.0,146.0,80.0,Tree,399.0,1.0
NIWO_001_2018.tif,30.0,262.0,52.0,282.0,Tree,440.0,1.0
NIWO_001_2018.tif,31.0,6.0,54.0,30.0,Tree,552.0,1.0
NIWO_001_2018.tif,136.0,87.0,158.0,111.0,Tree,528.0,1.0
NIWO_001_2018.tif,149.0,118.0,171.0,139.0,Tree,462.0,1.0
NIWO_001_2018.tif,349.0,1.0,365.0,14.0,Tree,208.0,1.0
NIWO_001_2018.tif,372.0,1.0,387.0,15.0,Tree,210.0,1.0
NIWO_001_2018.tif,381.0,22.0,395.0,38.0,Tree,224.0,1.0
NIWO_001_2018.tif,387.0,84.0,400.0,102.0,Tree,234.0,1.0
NIWO_001_2018.tif,361.0,53.0,373.0,64.0,Tree,132.0,1.0
NIWO_001_2018.tif,363.0,41.0,378.0,52.0,Tree,165.0,1.0
NIWO_001_2018.tif,232.0,34.0,250.0,50.0,Tree,288.0,1.0
NIWO_001_2018.tif,207.0,41.0,234.0,69.0,Tree,756.0,1.0
NIWO_001_2018.tif,307.0,100.0,326.0,120.0,Tree,380.0,1.0
