site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,42,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6433086029676762,0.49771905194550076,0.9875207986688852,0.6679797411367473
niwo,518437,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6403425649427239,0.5080335908016239,0.9870445344129555,0.6859876195835678
niwo,645142,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6298202834317469,0.4785377874656355,0.9876948318293683,0.6775464265616207
niwo,951277,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6304541532566156,0.5036940748723931,0.9855421686746988,0.6904895891952729
niwo,769680,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6372859820966394,0.5070379567110623,0.9857859531772575,0.6634777715250422
niwo,454803,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6365360306571698,0.4523992019851289,0.9875555555555555,0.6252110298255487
niwo,690695,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6307729331075617,0.4905395885059034,0.9867109634551495,0.6685424873382104
niwo,344218,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6498860982499034,0.5226923968617473,0.9860197368421053,0.674732695554305
niwo,392477,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6429377919185222,0.5262470439243875,0.9871279163314561,0.6904895891952729
niwo,505846,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6448901588152484,0.4958996426920436,0.9874476987447699,0.6640405177265053
niwo,538310,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6338852570576196,0.5159980691448872,0.9853896103896104,0.6831738885762522
niwo,478192,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6392200770349052,0.5136256700344274,0.9851362510322048,0.6713562183455262
niwo,952728,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6430064821896577,0.4919244995944034,0.9856540084388186,0.6572875633089477
niwo,447857,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.645099531236695,0.4957617029928651,0.9874161073825504,0.6623522791221159
niwo,654517,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6399376109455791,0.5058101741632521,0.9854014598540146,0.6837366347777153
niwo,326518,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6263973806190121,0.427724687584339,0.987353206865402,0.6150815981992122
niwo,436296,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6390708430041083,0.5043218835385902,0.9856540084388186,0.6572875633089477
niwo,723653,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6418321707028596,0.47145486807864984,0.988013698630137,0.6494091164884637
niwo,646171,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6167894987095597,0.5153073928902786,0.9841772151898734,0.7000562746201463
niwo,306939,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6374251032823248,0.5195706454524687,0.9854368932038835,0.6854248733821047
niwo,758261,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6340370264169043,0.5084993409383175,0.9856230031948882,0.6944288126055149
niwo,976563,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6433431157576112,0.45065654118068904,0.9877729257641922,0.6364659538548115
niwo,865101,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6301020794944543,0.5065024735389203,0.9840383080606544,0.6938660664040518
niwo,529320,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6411412902718805,0.4716956184806007,0.9880444064901793,0.6510973550928532
niwo,468175,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6386164205765156,0.4991720897653258,0.9876644736842105,0.6758581879572313
niwo,694154,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6436694406122211,0.5270679228645536,0.9847020933977456,0.6882386043894204
niwo,323554,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6324827894125965,0.4852448147589901,0.9864750633981403,0.6567248171074845
niwo,784313,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6451379495803958,0.4970221630308238,0.986171132238548,0.6420934158694429
niwo,415029,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6573546065159229,0.49839738606296374,0.9859402460456942,0.6314012380416432
niwo,731053,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6240833771827571,0.511109682912324,0.9859375,0.7101857062464828
niwo,230705,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6430276536291535,0.503702422536671,0.9876746096959738,0.6764209341586944
niwo,507281,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6332474276439891,0.5139980138940643,0.9845150774246129,0.6797974113674733
niwo,829640,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6489492139937628,0.5216792530414431,0.9868852459016394,0.6775464265616207
niwo,486693,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6359407200736865,0.5166813996587007,0.9865930599369085,0.7039954980303883
niwo,893204,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6398995907605823,0.5036157800585855,0.9869067103109657,0.678671918964547
niwo,197470,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6392374938490097,0.5082320904352325,0.9862792574656981,0.6876758581879572
niwo,604812,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6366427102790834,0.4657487364062764,0.9887931034482759,0.6454698930782217
niwo,429951,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6597505520005609,0.5135742941941328,0.9863713798977853,0.6516601012943163
niwo,654582,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6451314956608044,0.5009154147472465,0.9834710743801653,0.6696679797411368
niwo,290458,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6349452929952227,0.48069938398349527,0.9867768595041322,0.6719189645469893
niwo,953179,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.643379621047059,0.4699712773726706,0.9865831842576028,0.6207090602138435
niwo,349957,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6427229711629979,0.5128245478907004,0.9858803986710963,0.6679797411367473
niwo,629325,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6190953362846687,0.488422573886383,0.9857594936708861,0.7011817670230726
niwo,355536,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6419112291501342,0.4917480469706322,0.9873096446700508,0.6567248171074845
niwo,939113,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6366012461433932,0.463917994407628,0.9864986498649865,0.6167698368036015
niwo,802950,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6366853016099051,0.48591355399583475,0.9872773536895675,0.6550365785030952
niwo,761365,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6293644930549237,0.48075665912608145,0.9860769860769861,0.6775464265616207
niwo,47370,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6288475284572544,0.5028086527039711,0.9863453815261044,0.691052335396736
niwo,928481,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.634197283644491,0.49059347285401483,0.9854955680902499,0.6882386043894204
niwo,945185,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6400764958847055,0.4783663608963175,0.9869565217391304,0.638716938660664
niwo,2256,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6412854429645712,0.46259221659210953,0.9877300613496932,0.6342149690489589
niwo,922340,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6428778714220443,0.5009598735332973,0.9871904355251921,0.65053460889139
niwo,157494,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6414678345851749,0.4947377500285215,0.9875,0.666854248733821
niwo,426182,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.646127775743334,0.48821434502456706,0.9880546075085325,0.6516601012943163
niwo,344518,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6421294297338618,0.501013449364435,0.9876441515650741,0.674732695554305
niwo,610777,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6473172217129936,0.49041213625335783,0.9858281665190434,0.6263365222284749
niwo,251328,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6080777447733771,0.5096119520375441,0.9847560975609756,0.727068092290377
niwo,814866,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.631167899264841,0.528907625489282,0.9866875489428347,0.7090602138435566
niwo,750670,7,False,training3/NIWO-train.csv,evaluation3/NIWO-test.csv,0.6330038010619691,0.5214826825136627,0.9876065065840434,0.7175014068655037
