site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec
sjer,42,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.45763315847905883,0.772055050684083,0.6014150943396226,1.0
sjer,518437,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.412352064531655,0.7229111837982807,0.5782312925170068,1.0
sjer,645142,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4695716669089328,0.7541750811912104,0.6334164588528678,0.996078431372549
sjer,951277,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.5237776734955403,0.7711322279870667,0.6910569105691057,1.0
sjer,769680,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4909825942056325,0.7696025300864012,0.6062052505966588,0.996078431372549
sjer,454803,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.49522456249211466,0.7463254039866944,0.6836461126005362,1.0
sjer,690695,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.42334298390787994,0.7627780373748116,0.5730337078651685,1.0
sjer,344218,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4666218829388123,0.7138398340011245,0.6505102040816326,1.0
sjer,392477,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.3974581558261904,0.6710942731104023,0.6042654028436019,1.0
sjer,505846,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.5067096740271612,0.739262619101329,0.6773333333333333,0.996078431372549
sjer,538310,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.47169354470113484,0.7663509877219556,0.6115107913669064,1.0
sjer,478192,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4475965470421373,0.7673131527970236,0.6057007125890737,1.0
sjer,952728,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.5019102254595027,0.7519661342241989,0.6666666666666666,0.996078431372549
sjer,447857,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4889262458842114,0.747301175526982,0.6589147286821705,1.0
sjer,654517,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4494483172541697,0.7529466948821789,0.6091127098321343,0.996078431372549
sjer,326518,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4768921125004682,0.7359395085201539,0.6265356265356266,1.0
sjer,436296,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.44442567164055086,0.7596895935605614,0.5875576036866359,1.0
sjer,723653,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.47198334819302573,0.7675000626613531,0.6240786240786241,0.996078431372549
sjer,646171,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.472287420653295,0.7504426129426132,0.6666666666666666,0.996078431372549
sjer,306939,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4617893653653688,0.7345463228527744,0.6463104325699746,0.996078431372549
sjer,758261,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.47439044801560476,0.8077284722446012,0.5944055944055944,1.0
sjer,976563,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.48749876739978726,0.7751749594491532,0.6189320388349514,1.0
sjer,865101,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.4962986614772988,0.7616348257477291,0.6343283582089553,1.0
sjer,529320,5,False,training3/SJER-train.csv,evaluation3/SJER-test.csv,0.432480513999887,0.7637628948112821,0.5916473317865429,1.0
