site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec
teak,42,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6753136591598534,0.7110198805749213,0.9315436241610738,0.9455040871934605
teak,518437,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6399877205947291,0.7119885297431909,0.8934010152284264,0.9591280653950953
teak,645142,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6853185696410771,0.7149854567080594,0.9252717391304348,0.9277929155313351
teak,951277,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7040009700678374,0.7175449104510454,0.9371508379888268,0.9141689373297003
teak,769680,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6967799838028704,0.7007696482590755,0.9437412095639943,0.9141689373297003
teak,454803,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6793720357880582,0.718407233444093,0.9204851752021563,0.9305177111716622
teak,690695,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6963133239206185,0.6813109662665249,0.9582132564841499,0.9059945504087193
teak,344218,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6711950121534825,0.6847351677820026,0.9324137931034483,0.9209809264305178
teak,392477,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6845500807118348,0.7139338721985905,0.9228687415426252,0.9291553133514986
teak,505846,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6890192343884072,0.7329241955331585,0.9117647058823529,0.9291553133514986
teak,538310,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6836475706697285,0.7123497871136075,0.926530612244898,0.9277929155313351
teak,478192,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6909405022842157,0.7120038149126576,0.9339752407152683,0.9250681198910081
teak,952728,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7037478680577904,0.727343679160988,0.9413369713506139,0.9400544959128065
teak,447857,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6827181033350759,0.7203056758595793,0.9152086137281292,0.9264305177111717
teak,654517,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7046620610733182,0.7150045363218837,0.9312762973352033,0.9046321525885559
teak,326518,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.683372147980236,0.7134775513850784,0.931787175989086,0.9305177111716622
teak,436296,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6972478509402864,0.7338861665495713,0.9232839838492598,0.9346049046321526
teak,723653,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6912279184312844,0.6896392099009978,0.9434229137199435,0.9087193460490464
teak,646171,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6921924310804048,0.7087980439530415,0.9333333333333333,0.9155313351498637
teak,306939,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.690836100406518,0.7110950818718842,0.9326923076923077,0.9250681198910081
teak,758261,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.69847219135707,0.7218113150612357,0.9301369863013699,0.9250681198910081
teak,976563,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7052842430136985,0.7182541384225414,0.9402777777777778,0.9223433242506812
teak,865101,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6791352924380691,0.6945295690294897,0.9375866851595007,0.9209809264305178
teak,529320,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6820710099988667,0.7118246532246935,0.9247606019151847,0.9209809264305178
teak,468175,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6831193656029916,0.7070990263860265,0.936986301369863,0.9318801089918256
teak,694154,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6716751021280255,0.6971830192558207,0.9286694101508917,0.9223433242506812
teak,323554,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6895649695124724,0.6922023316011966,0.9460992907801419,0.9087193460490464
teak,784313,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6864508682489046,0.7104541879117762,0.928374655647383,0.9182561307901907
teak,415029,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6710801888628658,0.7004364251280023,0.9201623815967523,0.9264305177111717
teak,731053,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6957164673469538,0.6974619973735865,0.9365303244005642,0.9046321525885559
teak,230705,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6601526705483899,0.7275813558453957,0.8981958762886598,0.9495912806539509
teak,507281,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6690315963782542,0.7223904653779011,0.9118421052631579,0.944141689373297
teak,829640,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6847880743840098,0.7036116584278684,0.9310344827586207,0.9196185286103542
teak,486693,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6908204409089189,0.6968571379183497,0.9379407616361072,0.9059945504087193
teak,893204,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6828044005001636,0.7222010778307898,0.9219380888290714,0.9332425068119891
teak,197470,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6916561172401551,0.7273833387345955,0.918918918918919,0.9264305177111717
teak,604812,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7014205373187695,0.7137636724423085,0.9389736477115118,0.9223433242506812
teak,429951,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6979734675794187,0.7161574165232287,0.9306518723994452,0.9141689373297003
teak,654582,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6938153128703854,0.7098598476266338,0.9331476323119777,0.9128065395095368
teak,290458,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6892599851080281,0.6948160998075976,0.9398601398601398,0.9155313351498637
teak,953179,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6688025808426059,0.6953217608460337,0.9251700680272109,0.9264305177111717
teak,349957,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.691574634307469,0.7450160552643671,0.9182058047493403,0.9482288828337875
teak,629325,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.669557405601946,0.6883742294551962,0.9326923076923077,0.9250681198910081
teak,355536,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6869083241657851,0.7123591176655126,0.9330601092896175,0.9305177111716622
teak,939113,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6936250017590899,0.7140765944316965,0.9408528198074277,0.9318801089918256
teak,802950,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6889390467077379,0.7138465718050554,0.9343365253077975,0.9305177111716622
teak,761365,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6592080113484938,0.7046659681061941,0.9169960474308301,0.9482288828337875
teak,47370,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7163752196096332,0.7187603683778123,0.9447592067988668,0.9087193460490464
teak,928481,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6912897625641583,0.7107530353271527,0.9392265193370166,0.9264305177111717
teak,945185,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6751843703320757,0.7260525192047704,0.9128137384412153,0.94141689373297
teak,2256,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6509342895109592,0.7154734449727281,0.8998699609882965,0.9427792915531336
teak,922340,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6901279486489117,0.7047011622889783,0.9401114206128134,0.9196185286103542
teak,157494,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7030963448694584,0.6884950844948265,0.9517543859649122,0.8869209809264306
teak,426182,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6751254661050395,0.7427744211361305,0.8937823834196891,0.9400544959128065
teak,344518,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6844135083956895,0.7157259745134714,0.9228687415426252,0.9291553133514986
teak,610777,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6987677585108608,0.7068640326082413,0.9453015427769986,0.9182561307901907
teak,251328,5,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7215071245576961,0.7026191760353271,0.9492017416545718,0.8910081743869209
