site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec
teak,42,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.5860761710620848,0.6417423219893887,0.8930412371134021,0.944141689373297
teak,518437,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.6199773492448766,0.6582823164970064,0.9046979865771813,0.9182561307901907
teak,645142,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.3848547531285481,0.3799108285522308,0.946685878962536,0.8950953678474114
teak,951277,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.6102702494561282,0.6544848335852463,0.9070385126162018,0.9305177111716622
teak,769680,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.5667202481177286,0.6120078456010082,0.8994778067885117,0.9386920980926431
teak,454803,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.5842104433800125,0.6992131731154401,0.8433014354066986,0.9604904632152589
teak,690695,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.5690355174398317,0.6820651043721935,0.8441558441558441,0.9741144414168937
teak,344218,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.6145802306184899,0.6875415879471208,0.8807106598984772,0.9455040871934605
teak,392477,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.5902194489036069,0.6828020157125061,0.8583743842364532,0.9495912806539509
teak,505846,5,False,training3/TEAK-train-1per.csv,evaluation3/TEAK-test.csv,0.6148838295858801,0.6945792767384537,0.8784810126582279,0.9455040871934605
teak,42,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6061169926925634,0.6811909238680021,0.8772151898734177,0.944141689373297
teak,518437,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6784790780978591,0.6735333337719225,0.9389204545454546,0.9005449591280654
teak,645142,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6144821321260272,0.6871852509785363,0.8900255754475703,0.9482288828337875
teak,951277,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6093061653740086,0.7080968127022134,0.8601226993865031,0.9550408719346049
teak,769680,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6342655615767286,0.6718527434857146,0.9057873485868102,0.9168937329700273
teak,454803,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6507504188093138,0.6605026582348974,0.9424157303370787,0.9141689373297003
teak,690695,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.610766653001731,0.6082971818501036,0.9391304347826087,0.8828337874659401
teak,344218,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.5572351530757419,0.7375159849969697,0.7681623931623932,0.9795640326975477
teak,392477,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6110270087819506,0.7029972944426555,0.8686493184634448,0.9550408719346049
teak,505846,5,False,training3/TEAK-train-2per.csv,evaluation3/TEAK-test.csv,0.6532877816628809,0.5998578824169752,0.9686028257456829,0.840599455040872
teak,42,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6048885457593562,0.674928890644259,0.8836915297092288,0.952316076294278
teak,518437,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6521282889122365,0.7057757784599481,0.9031413612565445,0.9400544959128065
teak,645142,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6589888281989746,0.6583586106268683,0.9502840909090909,0.9114441416893733
teak,951277,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6110371968679689,0.7038822582132406,0.8622386223862238,0.9550408719346049
teak,769680,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6428213352210222,0.65386732158691,0.943342776203966,0.9073569482288828
teak,454803,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6165178820400689,0.7023424155168239,0.8681592039800995,0.9509536784741145
teak,690695,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.635341129689073,0.7137527158128312,0.8821292775665399,0.9482288828337875
teak,344218,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.5997481391607852,0.6429969345131596,0.9107856191744341,0.9318801089918256
teak,392477,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.6432561951906186,0.6680019225012821,0.9230769230769231,0.9155313351498637
teak,505846,5,False,training3/TEAK-train-5per.csv,evaluation3/TEAK-test.csv,0.62668544761447,0.6402854994645459,0.9309859154929577,0.9005449591280654
